time,value
2024-09-02T00:22:48.702779039Z,{"lat":-37.6615061,"lon":145.0150672}
2024-09-02T00:22:50.56748357Z,{"lat":-37.6615061,"lon":145.0150672}
2024-09-02T00:22:51.570663465Z,{"lat":-37.6615061,"lon":145.0150672}
2024-09-02T00:22:52.640633361Z,{"lat":-37.6615061,"lon":145.0150672}
2024-09-02T00:22:53.537906525Z,{"lat":-37.6615061,"lon":145.0150672}
2024-09-02T00:22:54.529555139Z,{"lat":-37.6615061,"lon":145.0150672}
2024-09-02T00:22:55.558745895Z,{"lat":-37.6615061,"lon":145.0150672}
2024-09-02T00:22:56.887764067Z,{"lat":-37.6615061,"lon":145.0150672}
2024-09-02T00:22:57.868840262Z,{"lat":-37.6615061,"lon":145.0150672}
2024-09-02T00:22:58.880566774Z,{"lat":-37.6615061,"lon":145.0150672}
2024-09-02T00:22:59.899956628Z,{"lat":-37.6615061,"lon":145.0150672}
2024-09-02T00:23:00.904677414Z,{"lat":-37.6615061,"lon":145.0150672}
2024-09-02T00:23:01.899606556Z,{"lat":-37.6615061,"lon":145.0150672}
2024-09-02T00:23:02.943593556Z,{"lat":-37.6615061,"lon":145.0150672}
2024-09-02T00:23:03.897614702Z,{"lat":-37.6615061,"lon":145.0150672}
2024-09-02T00:23:04.899463966Z,{"lat":-37.6615061,"lon":145.0150672}
2024-09-02T00:23:05.919793653Z,{"lat":-37.6615061,"lon":145.0150672}
2024-09-02T00:23:06.914854408Z,{"lat":-37.6615061,"lon":145.0150672}
2024-09-02T00:23:07.905587885Z,{"lat":-37.6615061,"lon":145.0150672}
2024-09-02T00:23:08.974211159Z,{"lat":-37.6615061,"lon":145.0150672}
2024-09-02T00:23:09.912884218Z,{"lat":-37.6615061,"lon":145.0150672}
2024-09-02T00:23:10.941583829Z,{"lat":-37.6615061,"lon":145.0150672}
2024-09-02T00:23:11.915813557Z,{"lat":-37.6615061,"lon":145.0150672}
2024-09-02T00:23:12.911849109Z,{"lat":-37.6615061,"lon":145.0150672}
2024-09-02T00:23:13.928622809Z,{"lat":-37.6615061,"lon":145.0150672}
2024-09-02T00:23:14.930836375Z,{"lat":-37.6615061,"lon":145.0150672}
2024-09-02T00:23:15.930671521Z,{"lat":-37.6615061,"lon":145.0150672}
2024-09-02T00:23:16.995718776Z,{"lat":-37.6615061,"lon":145.0150672}
2024-09-02T00:23:17.942833583Z,{"lat":-37.6615061,"lon":145.0150672}
2024-09-02T00:23:18.925657861Z,{"lat":-37.6615061,"lon":145.0150672}
2024-09-02T00:23:19.961756177Z,{"lat":-37.6615061,"lon":145.0150672}
2024-09-02T00:23:20.930685872Z,{"lat":-37.6615061,"lon":145.0150672}
2024-09-02T00:23:21.89649889Z,{"lat":-37.6615061,"lon":145.0150672}
2024-09-02T00:23:22.901835584Z,{"lat":-37.6615061,"lon":145.0150672}
2024-09-02T00:23:23.899727761Z,{"lat":-37.6615061,"lon":145.0150672}
2024-09-02T00:23:24.892902111Z,{"lat":-37.6615061,"lon":145.0150672}
2024-09-02T00:23:25.893712685Z,{"lat":-37.6615061,"lon":145.0150672}
2024-09-02T00:23:26.903609943Z,{"lat":-37.6615061,"lon":145.0150672}
2024-09-02T00:23:27.904604697Z,{"lat":-37.6615061,"lon":145.0150672}
2024-09-02T00:23:28.908908371Z,{"lat":-37.6615061,"lon":145.0150672}
2024-09-02T00:23:29.904874885Z,{"lat":-37.6615061,"lon":145.0150672}
